onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
42.03	n/a	21015	seqLearning_start	91	n/a	n/a	8
48.296	n/a	24148	learningBlock_1	31	n/a	n/a	8
48.32	n/a	24160	dot_no1_ON	11	n/a	n/a	8
48.908	n/a	24454	dot_no1_OFF	21	n/a	n/a	8
50.228	n/a	25114	dot_no6_ON	16	n/a	n/a	8
50.808	n/a	25404	dot_no6_OFF	26	n/a	n/a	8
52.128	n/a	26064	dot_no4_ON	14	n/a	n/a	8
52.708	n/a	26354	dot_no4_OFF	24	n/a	n/a	8
54.028	n/a	27014	dot_no2_ON	12	n/a	n/a	8
54.608	n/a	27304	dot_no2_OFF	22	n/a	n/a	8
55.928	n/a	27964	dot_no7_ON	17	n/a	n/a	8
56.508	n/a	28254	dot_no7_OFF	27	n/a	n/a	8
57.828	n/a	28914	dot_no3_ON	13	n/a	n/a	8
58.408	n/a	29204	dot_no3_OFF	23	n/a	n/a	8
59.728	n/a	29864	dot_no8_ON	18	n/a	n/a	8
60.318	n/a	30159	dot_no8_OFF	28	n/a	n/a	8
61.638	n/a	30819	dot_no5_ON	15	n/a	n/a	8
62.218	n/a	31109	dot_no5_OFF	25	n/a	n/a	8
63.538	n/a	31769	dot_no2_ON	12	n/a	n/a	8
64.118	n/a	32059	dot_no2_OFF	22	n/a	n/a	8
65.438	n/a	32719	dot_no7_ON	17	n/a	n/a	8
66.018	n/a	33009	dot_no7_OFF	27	1-6-4-2-7-3-5-7-8-2	1-6-4-2-7-3-8-5-2-7	8
133.808	n/a	66904	learningBlock_2	32	n/a	n/a	8
133.816	n/a	66908	dot_no1_ON	11	n/a	n/a	8
134.396	n/a	67198	dot_no1_OFF	21	n/a	n/a	8
135.716	n/a	67858	dot_no6_ON	16	n/a	n/a	8
136.306	n/a	68153	dot_no6_OFF	26	n/a	n/a	8
137.626	n/a	68813	dot_no4_ON	14	n/a	n/a	8
138.206	n/a	69103	dot_no4_OFF	24	n/a	n/a	8
139.526	n/a	69763	dot_no2_ON	12	n/a	n/a	8
140.106	n/a	70053	dot_no2_OFF	22	n/a	n/a	8
141.426	n/a	70713	dot_no7_ON	17	n/a	n/a	8
142.006	n/a	71003	dot_no7_OFF	27	n/a	n/a	8
